raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
UTO8 M M M 146/01/-06/2421+26/M/ PK WND 2431 1600Z SOG 33 6005 15MM,UTO8,2023-06-08T17:31:00Z,,,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,
RKNY 081731Z AUTO 36010KT 4200 BR ///006/// ///019/// ///034/// 14/14 Q1002,RKNY,2023-06-08T17:31:00Z,38.07,128.67,14.0,14.0,360,10,,2.61,29.586615,,,TRUE,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,SPECI,76.0
KBHB 081731Z AUTO 08007KT 10SM FEW024 OVC032 14/10 A2971 RMK AO2,KBHB,2023-06-08T17:31:00Z,44.45,-68.37,14.0,10.0,80,7,,10.0,29.71063,,,TRUE,TRUE,,,,,,,FEW,2400,OVC,3200,,,,,VFR,,,,,,,,,,,,SPECI,21.0
KAFP 081731Z AUTO 33008KT 10SM CLR 25/06 A2974 RMK AO2 T02530063,KAFP,2023-06-08T17:31:00Z,35.02,-80.08,25.3,6.3,330,8,,10.0,29.740158,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,91.0
CYIV 081731Z AUTO VRB02KT 9SM TS SCT042 OVC050 21/16 A2985 RMK LTNG DIST N SLP113 DENSITY ALT 1800FT,CYIV,2023-06-08T17:31:00Z,53.85,-94.65,21.0,16.0,0,2,,9.0,29.84941,1011.3,,TRUE,,,,,,,TS,SCT,4200,OVC,5000,,,,,VFR,,,,,,,,,,,,SPECI,234.0
CYGV 081731Z AUTO 09006KT 060V140 2SM -RA BR SCT005 OVC014 10/09 A2993 RMK VIS VRB 1-3 SLP137,CYGV,2023-06-08T17:31:00Z,50.28,-63.62,10.0,9.0,90,6,,2.0,29.929134,1013.7,,TRUE,,,,,,,-RA BR,SCT,500,OVC,1400,,,,,IFR,,,,,,,,,,,,SPECI,32.0
ZMCK 081730Z 26003MPS CAVOK 12/06 Q1015 NOSIG RMK QFE645.9 67,ZMCK,2023-06-08T17:30:00Z,47.65,106.82,12.0,6.0,260,6,,6.21,29.970472,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1366.0
YSTW 081730Z AUTO 01003KT //// // BKN001 BKN013 OVC027 09/09 Q1017,YSTW,2023-06-08T17:30:00Z,-31.08,150.85,9.0,9.0,10,3,,,30.029528,,,TRUE,,,,,,,,BKN,100,BKN,1300,OVC,2700,,,,,,,,,,,,,,,SPECI,404.0
YSDU 081730Z AUTO 00000KT 0150 // OVC001 06/// Q1018 RF00/2/006/4,YSDU,2023-06-08T17:30:00Z,-32.22,148.57,6.0,,0,0,,0.09,30.059055,,,TRUE,,,,,,,,OVC,100,,,,,,,LIFR,,,,,,,,,,,,SPECI,285.0
YPXM 081730Z AUTO 13011KT 9999 // OVC011 OVC017 24/23 Q1014,YPXM,2023-06-08T17:30:00Z,-10.45,105.68,24.0,23.0,130,11,,6.21,29.940945,,,TRUE,,,,,,,,OVC,1100,OVC,1700,,,,,MVFR,,,,,,,,,,,,SPECI,262.0
YPJT 081730Z AUTO 02007KT 0350 FG OVC002 13/13 Q1022 RF00.0/003.6,YPJT,2023-06-08T17:30:00Z,-32.1,115.88,13.0,13.0,20,7,,0.22,30.177166,,,TRUE,,,,,,,FG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,29.0
YPEA 081730Z AUTO 36002KT 1800 BR SCT001 OVC007 13/12 Q1022,YPEA,2023-06-08T17:30:00Z,-31.67,116.02,13.0,12.0,360,2,,1.12,30.177166,,,TRUE,,,,,,,BR,SCT,100,OVC,700,,,,,IFR,,,,,,,,,,,,SPECI,38.0
YCFS 081730Z AUTO 29004KT 9999 // NCD 10/09 Q1015 RF00.0/000.8,YCFS,2023-06-08T17:30:00Z,-30.32,153.12,10.0,9.0,290,4,,6.21,29.970472,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,2.0
