No errors
No warnings
127 ms
data source=metars
4956 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYDL 060732Z AUTO 18005KT 150V220 6SM -RA BR FEW055 OVC140 03/03 A3004 RMK PCPN 1.2MM PAST HR SLP196,CYDL,2023-06-06T07:32:00Z,58.42,-130.02,3.0,3.0,180,5,,6.0,30.041338,1019.6,,TRUE,,,,,,,-RA BR,FEW,5500,OVC,14000,,,,,VFR,,,,,,,,,,,,SPECI,804.0
CYBQ 060732Z AUTO 13004KT 100V170 9SM OVC004 11/11 A2996 RMK LTNG DIST S SW SLP160,CYBQ,2023-06-06T07:32:00Z,58.7,-98.5,11.0,11.0,130,4,,9.0,29.958662,1016.0,,TRUE,,,,,,,,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,272.0
YBLN 060731Z AUTO 30005KT 6000 SHRA SCT022 SCT030 BKN036 09/09 Q1008,YBLN,2023-06-06T07:31:00Z,-33.68,115.4,9.0,9.0,300,5,,3.73,29.763779,,,TRUE,,,,,,,SHRA,SCT,2200,SCT,3000,BKN,3600,,,MVFR,,,,,,,,,,,,SPECI,17.0
ZMCK 060730Z 32010MPS 290V360 9999 FEW030CB SCT033 21/05 Q1010 NOSIG RMK QFE642.6 36 MOP,ZMCK,2023-06-06T07:30:00Z,47.65,106.82,21.0,5.0,320,19,,6.21,29.822834,,,,,,TRUE,,,,,FEW,3000,SCT,3300,,,,,VFR,,,,,,,,,,,,METAR,1366.0
YPEA 060730Z AUTO 15001KT 9999 SHRA SCT051 BKN115 09/07 Q1009,YPEA,2023-06-06T07:30:00Z,-31.67,116.02,9.0,7.0,150,1,,6.21,29.793306,,,TRUE,,,,,,,SHRA,SCT,5100,BKN,11500,,,,,VFR,,,,,,,,,,,,SPECI,38.0
WSSS 060730Z 19006KT 160V220 9999 FEW020 BKN270 30/25 Q1008 NOSIG,WSSS,2023-06-06T07:30:00Z,1.37,103.97,30.0,25.0,190,6,,6.21,29.763779,,,,,,TRUE,,,,,FEW,2000,BKN,27000,,,,,VFR,,,,,,,,,,,,METAR,17.0
WIII 060730Z 17007KT 600 FG -RA OVC014 27/26 Q1008 BECMG AT0800 NSW,WIII,2023-06-06T07:30:00Z,-6.13,106.67,27.0,26.0,170,7,,,29.763779,,,,,,,,,,-RA FG,OVC,1400,,,,,,,,,,,,,,,,,,,METAR,9.0
WARR 060730Z 07009KT 9999 FEW020 32/23 Q1008 NOSIG ,WARR,2023-06-06T07:30:00Z,-7.37,112.78,32.0,23.0,70,9,,6.21,29.763779,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
WAJJ 060730Z 13010KT 9999 FEW013 30/24 Q1007 NOSIG,WAJJ,2023-06-06T07:30:00Z,-2.58,140.52,30.0,24.0,130,10,,6.21,29.734253,,,,,,TRUE,,,,,FEW,1300,,,,,,,VFR,,,,,,,,,,,,METAR,93.0
VOTV 060730Z 28008KT 6000 FEW015 FEW025CB BKN080 32/26 Q1008 NOSIG,VOTV,2023-06-06T07:30:00Z,8.48,76.92,32.0,26.0,280,8,,3.73,29.763779,,,,,,TRUE,,,,,FEW,1500,FEW,2500,BKN,8000,,,MVFR,,,,,,,,,,,,METAR,9.0
