No errors
No warnings
151 ms
data source=metars
4766 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
SPQT 050422Z 11008KT 070V150 3000 TSRA BKN008 FEW020CB OVC100 23/22 Q1011,SPQT,2023-11-05T04:22:00Z,-3.786,-73.306,23,22,110,8,,1.86,29.85,,,,,,,,,,TSRA,BKN,800,FEW,2000,OVC,10000,,,IFR,,,,,,,,,,,,SPECI,92
KUNV 050422Z AUTO 00000KT 10SM SCT065 OVC080 10/M00 A3007 RMK AO2,KUNV,2023-11-05T04:22:00Z,40.8534,-77.8401,10,0,0,0,,10+,30.07,,,TRUE,TRUE,,,,,,,SCT,6500,OVC,8000,,,,,VFR,,,,,,,,,,,,METAR,365
KSFY 050422Z AUTO 00000KT 10SM CLR 02/01 A3018 RMK AO2,KSFY,2023-11-05T04:22:00Z,42.0454,-90.1101,2,1,0,0,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,188
CYZH 050422Z AUTO 10011G16KT 4SM BR OVC007 01/01 A2959 RMK SLP046,CYZH,2023-11-05T04:22:00Z,55.293,-114.773,1,1,100,11,16,4,29.59,1004.6,,TRUE,,,,,,,BR,OVC,700,,,,,,,IFR,,,,,,,,,,,,SPECI,583
PALG 050421Z AUTO 26003KT 6SM -SN BR BKN020 OVC033 M07/M09 A2961 RMK AO2 FZRANO PNO $,PALG,2023-11-05T04:21:00Z,61.538,-160.34,-7,-9,260,3,,6,29.61,,,TRUE,TRUE,TRUE,,,,,-SN BR,BKN,2000,OVC,3300,,,,,MVFR,,,,,,,,,,,,SPECI,13
PKWA 050420Z AUTO 08016KT 10SM CLR 24/19 A2974 RMK AO2 T02360193 TSNO,PKWA,2023-11-05T04:20:00Z,8.72,167.724,23.6,19.3,80,16,,10+,29.74,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,6
PAMD 050420Z AUTO 1/2SM FG OVC002 06/05 A2924 RMK AO2 VIS 1/4V1 3/4 RAB0356E12 PNO $,PAMD,2023-11-05T04:20:00Z,59.442,-146.317,6,5,,,,0.5,29.24,,,TRUE,TRUE,TRUE,,,,,FG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,20
LSZS 050420Z AUTO 03002KT 9999 OVC009 M01/M01 Q0987,LSZS,2023-11-05T04:20:00Z,46.526,9.879,-1,-1,30,2,,6+,29.14,,,TRUE,,,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,METAR,1708
LSZR 050420Z AUTO 18014KT CAVOK 12/01 Q0982,LSZR,2023-11-05T04:20:00Z,47.485,9.561,12,1,180,14,,6+,29.00,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,396
LSZL 050420Z AUTO VRB01KT 9999NDV OVC059 06/05 Q0990 RMK,LSZL,2023-11-05T04:20:00Z,46.164,8.878,6,5,VRB,1,,,29.23,,,TRUE,,,,,,,,OVC,5900,,,,,,,VFR,,,,,,,,,,,,METAR,198
LSZH 050420Z AUTO 24009KT CAVOK 09/05 Q0984 TEMPO SHRA,LSZH,2023-11-05T04:20:00Z,47.48,8.536,9,5,240,9,,6+,29.06,,,TRUE,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,424
LSZG 050420Z AUTO 23009KT 9999 -RA FEW020 BKN037 BKN041 08/08 Q0984,LSZG,2023-11-05T04:20:00Z,47.179,7.415,8,8,230,9,,6+,29.06,,,TRUE,,,,,,,-RA,FEW,2000,BKN,3700,BKN,4100,,,VFR,,,,,,,,,,,,METAR,428
LSZC 050420Z AUTO VRB02KT 9999 FEW080 SCT130 06/04 Q0984,LSZC,2023-11-05T04:20:00Z,46.972,8.392,6,4,VRB,2,,6+,29.06,,,TRUE,,,,,,,,FEW,8000,SCT,13000,,,,,VFR,,,,,,,,,,,,METAR,445
LSZB 050420Z AUTO VRB02KT 9999 -DZ FEW070 SCT085 BKN100 07/05 Q0984,LSZB,2023-11-05T04:20:00Z,46.914,7.497,7,5,VRB,2,,6+,29.06,,,TRUE,,,,,,,-DZ,FEW,7000,SCT,8500,BKN,10000,,,VFR,,,,,,,,,,,,METAR,510
LSZA 050420Z AUTO VRB01KT 9999 BKN039 07/07 Q0989,LSZA,2023-11-05T04:20:00Z,46.004,8.91,7,7,VRB,1,,6+,29.20,,,TRUE,,,,,,,,BKN,3900,,,,,,,VFR,,,,,,,,,,,,METAR,276
LSGS 050420Z AUTO 08006KT 9999 -RA BKN038 03/02 Q0990,LSGS,2023-11-05T04:20:00Z,46.219,7.33,3,2,80,6,,6+,29.23,,,TRUE,,,,,,,-RA,BKN,3800,,,,,,,VFR,,,,,,,,,,,,METAR,482
LSGG 050420Z AUTO 21019KT 9999 -RA FEW029 BKN043 11/05 Q0986 RESHRA NOSIG,LSGG,2023-11-05T04:20:00Z,46.248,6.128,11,5,210,19,,6+,29.11,,,TRUE,,,,,,,-RA,FEW,2900,BKN,4300,,,,,VFR,,,,,,,,,,,,METAR,411
LSGC 050420Z AUTO 22016G27KT 190V260 9999 -RA BKN020 BKN023 06/04 Q0983 REDZ,LSGC,2023-11-05T04:20:00Z,47.083,6.792,6,4,220,16,27,6+,29.03,,,TRUE,,,,,,,-RA,BKN,2000,BKN,2300,,,,,MVFR,,,,,,,,,,,,METAR,1018
LLBG 050420Z VRB03KT CAVOK 18/11 Q1014 NOSIG,LLBG,2023-11-05T04:20:00Z,32.011,34.887,18,11,VRB,3,,6+,29.94,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,35
LGRP 050420Z 11006KT 9999 SCT016 24/21 Q1012 NOSIG,LGRP,2023-11-05T04:20:00Z,36.405,28.086,24,21,110,6,,6+,29.88,,,,,,,,,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,METAR,3
LGKR 050420Z 00000KT 9999 SCT018 14/12 Q1008 NOSIG,LGKR,2023-11-05T04:20:00Z,39.61,19.913,14,12,0,0,,6+,29.76,,,,,,,,,,,SCT,1800,,,,,,,VFR,,,,,,,,,,,,METAR,2
LGIR 050420Z VRB02KT 9999 SCT020 22/17 Q1013,LGIR,2023-11-05T04:20:00Z,35.337,25.173,22,17,VRB,2,,6+,29.91,,,,,,,,,,,SCT,2000,,,,,,,VFR,,,,,,,,,,,,METAR,37
LGAV 050420Z 19003KT 9999 FEW025 15/10 Q1011 NOSIG,LGAV,2023-11-05T04:20:00Z,37.936,23.945,15,10,190,3,,6+,29.85,,,,,,,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,83
LATI 050420Z 16006KT 9999 FEW045 BKN092 13/11 Q1007 NOSIG,LATI,2023-11-05T04:20:00Z,41.419,19.716,13,11,160,6,,6+,29.73,,,,,,,,,,,FEW,4500,BKN,9200,,,,,VFR,,,,,,,,,,,,METAR,32
KUAO 050420Z AUTO 00000KT 10SM BKN024 BKN060 13/11 A2990 RMK AO2 T01280106 $,KUAO,2023-11-05T04:20:00Z,45.2466,-122.771,12.8,10.6,0,0,,10+,29.90,,,TRUE,TRUE,TRUE,,,,,,BKN,2400,BKN,6000,,,,,MVFR,,,,,,,,,,,,SPECI,60
